iter	RMSE
0	10.74686915
1	10.29502915
2	9.869661964
3	9.305754776
4	8.821312945
5	8.461548532
6	8.077058765
7	7.705876598
8	7.314532094
9	7.034864093
10	6.729321581
11	6.414919001
12	6.126583341
13	5.843356245
14	5.633652435
15	5.359698505
16	5.148631957
17	4.913077893
18	4.734269152
19	4.567182047
20	4.38414065
21	4.22598933
22	4.069831575
23	3.880796385
24	3.731219166
25	3.598927623
26	3.438030656
27	3.340894271
28	3.18887427
29	3.078554609
30	2.977638231
31	2.85933676
32	2.763758453
33	2.67408423
34	2.568784924
35	2.480348063
36	2.404976301
37	2.326453273
38	2.268860179
39	2.204523764
40	2.144710826
41	2.077725213
42	2.007068452
43	1.941426682
44	1.87713324
45	1.806798186
46	1.725760004
47	1.657470776
48	1.597805079
49	1.540303702
50	1.49266755
51	1.433599511
52	1.381894199
53	1.340426448
54	1.289540709
55	1.241375982
56	1.187377968
57	1.142231047
58	1.109386172
59	1.071336568
60	1.033627256
61	0.9980784078
62	0.9555417229
63	0.9318933966
64	0.9068262477
65	0.8718809527
66	0.8518600567
67	0.8248781228
68	0.7942515012
69	0.7602849833
70	0.7417930604
71	0.7240140949
72	0.702411159
73	0.6847391565
74	0.66278735
75	0.6433878034
76	0.6324526594
77	0.6100311637
78	0.5998772939
79	0.5892851688
80	0.579846337
81	0.5721535466
82	0.5632735422
83	0.5547092377
84	0.5464517814
85	0.5397078724
86	0.5192220689
87	0.5112671504
88	0.5002654895
89	0.4932711213
90	0.4876409726
91	0.4810802669
92	0.4715237243
93	0.4651744445
94	0.4591515255
95	0.4534362667
96	0.4452633429
97	0.4400464322
98	0.4359312955
99	0.4287473832
100	0.4242958182
101	0.4201001456
102	0.4135935571
103	0.4096941692
104	0.4060180031
105	0.3967677491
106	0.3837252805
107	0.3807241732
108	0.3719768568
109	0.3599614465
110	0.3519396543
111	0.3407456479
112	0.3333926764
113	0.327270318
114	0.3206082829
115	0.3105331476
116	0.3051478048
117	0.3000530532
118	0.2946395382
119	0.2862495441
120	0.2796428873
121	0.2744387954
122	0.26853898
123	0.2639606073
124	0.2560841347
125	0.2528586143
126	0.24994622
127	0.2472493521
128	0.2403964198
129	0.233602309
130	0.2308942607
131	0.2285757471
132	0.2266884134
133	0.2207155115
134	0.216645833
135	0.2148950756
136	0.2091326373
137	0.208042486
138	0.202535706
139	0.2015172635
140	0.1996296844
141	0.1955547829
142	0.1904401499
143	0.1866306973
144	0.1818065409
145	0.1781526597
146	0.1746624206
147	0.1701992403
148	0.1669464335
149	0.1659933106
150	0.161158431
151	0.1580177206
152	0.1549535053
153	0.1511943933
154	0.1475458192
155	0.1444343522
156	0.1410199025
157	0.1376882668
158	0.1332336195
159	0.1306441884
160	0.1264975676
161	0.122578756
162	0.1197599571
163	0.1174373591
164	0.1138523051
165	0.1115260018
166	0.1092307001
167	0.1058213381
168	0.1036683656
169	0.1016093048
170	0.09964990901
171	0.09770103652
172	0.09583906899
173	0.09399419818
174	0.092224261
175	0.09052703592
176	0.08879463181
177	0.08718087942
178	0.08511076068
179	0.0835154413
180	0.08185850887
181	0.07994159027
182	0.07837320725
183	0.07655310252
184	0.07496291276
185	0.07342433149
186	0.07202410193
187	0.07013814283
188	0.06851845747
189	0.06732101201
190	0.06587107145
191	0.06462744792
192	0.06296064859
193	0.06171335159
194	0.06006309219
195	0.05887869262
196	0.0577940587
197	0.05627553466
198	0.05507859025
199	0.05388092055
