iter	Passed	Remaining
0	54	10838
1	54	5406
2	54	3599
3	55	2700
4	55	2156
5	55	1792
6	55	1533
7	55	1338
8	55	1187
9	56	1065
10	56	966
11	56	883
12	56	813
13	56	753
14	56	700
15	56	655
16	57	615
17	57	579
18	57	547
19	57	518
20	57	492
21	57	468
22	58	446
23	58	426
24	58	408
25	58	391
26	58	375
27	58	360
28	58	347
29	59	334
30	59	322
31	59	311
32	59	300
33	59	290
34	59	281
35	59	272
36	60	264
37	60	256
38	60	249
39	60	241
40	60	234
41	60	228
42	60	222
43	60	216
44	61	210
45	61	204
46	61	199
47	61	194
48	61	189
49	61	185
50	61	180
51	61	176
52	62	172
53	62	168
54	62	164
55	62	160
56	62	157
57	62	153
58	63	150
59	63	147
60	63	144
61	63	141
62	64	139
63	64	136
64	64	134
65	64	131
66	65	129
67	65	127
68	65	124
69	65	122
70	66	120
71	66	117
72	66	115
73	66	113
74	66	111
75	66	109
76	67	107
77	67	105
78	67	103
79	67	101
80	67	99
81	67	97
82	67	95
83	67	93
84	68	92
85	68	90
86	68	88
87	68	87
88	68	85
89	68	83
90	68	82
91	68	80
92	69	79
93	69	78
94	69	76
95	69	75
96	69	74
97	69	72
98	70	71
99	70	70
100	70	68
101	70	67
102	70	66
103	70	65
104	70	63
105	70	62
106	70	61
107	71	60
108	71	59
109	71	58
110	71	57
111	71	56
112	71	55
113	71	54
114	71	53
115	72	52
116	72	51
117	72	50
118	72	49
119	72	48
120	72	47
121	73	46
122	73	45
123	73	44
124	73	44
125	73	43
126	73	42
127	73	41
128	73	40
129	74	39
130	74	39
131	74	38
132	74	37
133	74	36
134	74	35
135	74	35
136	75	34
137	75	33
138	75	33
139	75	32
140	75	31
141	76	31
142	76	30
143	76	29
144	76	29
145	76	28
146	76	27
147	77	27
148	77	26
149	77	25
150	77	25
151	77	24
152	77	23
153	78	23
154	78	22
155	78	22
156	78	21
157	78	20
158	78	20
159	79	19
160	79	19
161	79	18
162	79	18
163	79	17
164	80	16
165	80	16
166	80	15
167	80	15
168	80	14
169	80	14
170	80	13
171	81	13
172	81	12
173	81	12
174	81	11
175	81	11
176	81	10
177	81	10
178	82	9
179	82	9
180	82	8
181	82	8
182	82	7
183	83	7
184	83	6
185	83	6
186	83	5
187	83	5
188	83	4
189	83	4
190	84	3
191	84	3
192	84	3
193	84	2
194	84	2
195	85	1
196	85	1
197	85	0
198	85	0
199	85	0
