"search_term_used","study_id","title","description","organism","relevance_score","url"
"human spaceflight","OSD-635","Spaceflight effects on human vascular smooth muscle cell phenotype and function","The cardiovascular system is strongly impacted by the hazards of spaceflight. Astronauts spending steadily increasing lengths of time in microgravity are subject to cardiovascular deconditioning resulting in loss of vascular tone, reduced total blood volume, and diminished cardiac output. Appreciating the mechanisms by which the cells of the vasculature are altered during spaceflight will be integral to understanding and combating these deleterious effects as the human presence in space advances...","H, o, m, o,  , s, a, p, i, e, n, s","56","https://osdr.nasa.gov/bio/repo/data/studies/OSD-635"
"cardiovascular","PXD008278","Serum proteomics of Premature Carotid atherosclerosis: The Cardiovascular Risk in Young Finns Study","Cardiovascular diseases represent a leading cause of 
deaths globally; of which atherosclerosis is a major contributor. 
Selective retention of circulating apolipoprotein B particles in the sub 
endothelial space by arterial wall proteoglycans and their subsequent 
modification is currently thought to be a hallmark of the disease. The 
exact mechanism responsible for lesion development is not fully 
understood. Currently, ultrasonic assessment of carotid artery intima 
media thickness (IM...","Homo sapiens (Human)","53","https://osdr.nasa.gov/bio/repo/data/studies/PXD008278"
"cardiovascular","GSE100725","In vivo generation of post-infarct human cardiac muscle by laminin-promoted cardiovascular progenitors","This SuperSeries is composed of the SubSeries listed below and contains: bulk RNA-seq of two time series of a xeno-free human cardiomyocyte differentiation protocol starting from HS1001 and H1 hECSs until day 94 cardiomyocytes, single cell sequencing of cardiovascular progenitors (H1 and HS1001-derived cardiovascular progenitors at day 9 and 11) and bulk RNA-Seq of H1 hECSs that have been transferred to a LN-221 matrix. Regeneration of injured human heart muscle is limited and an unmet clinical ...","Homo sapiens","52","https://osdr.nasa.gov/bio/repo/data/studies/GSE100725"
"human spaceflight","GSE137081","Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function","With extended stays aboard the International Space Station (ISS) becoming commonplace, there is a need to better understand the effects of microgravity on cardiac function. We utilized human induced pluripotent stem cell-derived cardiomyocytes (hiPSC-CMs) to study the effects of microgravity on cell-level cardiac function and gene expression. The hiPSC-CMs were cultured aboard the ISS for 5.5 weeks and their gene expression, structure, and functions were compared to ground control hiPSC-CMs. Exp...","Homo sapiens","51","https://osdr.nasa.gov/bio/repo/data/studies/GSE137081"
"human spaceflight","GSE100931","SCD – Stem Cell Differentiation on board the International Space Station [RNA-seq]","This disease is frequent in aged people, but develops much more rapidly in space. Our experiment, selected by ESA (European Space Agency), aimed to determine how human bone marrow mesenchymal stem cells (hBMSCs) react and differentiate in real microgravity, on board the International Space Station, in approx. 2 weeks time. The bone loss observed in astronauts and animal models after spaceflight is attributable to alterations in the bone tissue formation that depends from the continuous remodelin...","Homo sapiens","51","https://osdr.nasa.gov/bio/repo/data/studies/GSE100931"
"human spaceflight","GSE100930","SCD – Stem Cell Differentiation on board the International Space Station [microarray on total RNA]","This disease is frequent in aged people, but develops much more rapidly in space. Our experiment, selected by ESA (European Space Agency), aimed to determine how human bone marrow mesenchymal stem cells (hBMSCs) react and differentiate in real microgravity, on board the International Space Station, in approx. 2 weeks time. The bone loss observed in astronauts and animal models after spaceflight is attributable to alterations in the bone tissue formation that depends from the continuous remodelin...","Homo sapiens","51","https://osdr.nasa.gov/bio/repo/data/studies/GSE100930"
"human spaceflight","GSE100932","SCD – Stem Cell Differentiation on board the International Space Station [miRNA-seq on miRNAs from exosomes]","The bone loss observed in astronauts and animal models after spaceflight is attributable to alterations in the bone tissue formation that depends from the continuous remodeling through the activities of bone-resorbing osteoclasts of hematopoietic lineage and bone-forming osteoblasts of mesenchymal origin. This disease is frequent in aged people, but develops much more rapidly in space. Our experiment, selected by ESA (European Space Agency), aimed to determine how human bone marrow mesenchymal s...","Homo sapiens","51","https://osdr.nasa.gov/bio/repo/data/studies/GSE100932"
"cardiovascular","GSE37824","Evaluation of a novel clinical platform for cardiovascular drug development","Objectives –To determine whether inflammation biomarkers can be used as indicators of therapeutic response, an exploratory study was performed to ascertain whether short term improvements in risk parameters will have measureable effects on a pre-defined panel of plaque inflammation biomarkers. Conclusions – Short term treatment with drugs that improve cardiovascular risk parameters did not result in a measureable reduction in the levels of peripheral arterial plaque inflammation biomarkers.  Fur...","Homo sapiens","50","https://osdr.nasa.gov/bio/repo/data/studies/GSE37824"
"heart","PXD011742","Mechanism of 17-β Estradiol Stimulated Integration of Human Mesenchymal Stem Cells in Heart Tissue","Scarcity of gender specific donor hearts highlights the importance of mesenchymal stem cells (MSCs) as a therapeutic tool for heart repair. However, inefficient incorporation, retention, and activity of MSCs in cardiac tissue remains an obstacle. Since surge in follicular estradiol (μmolar-range) triggers tissue remodeling (e.g. ovulation) and estradiol exerts beneficial actions on the cardiovascular system, we hypothesized that estradiol may promote/improve MSC-mediated cardiac repair processes...","Homo sapiens (Human)","50","https://osdr.nasa.gov/bio/repo/data/studies/PXD011742"
"cardiovascular","OSD-575","SpaceX Inspiration4 Blood Serum Metabolic Panel and Immune/Cardiac Cytokine Arrays (Comprehensive Metabolic Panel and Multiplex)","The SpaceX Inspiration4 mission was a 3-day mission with four private astronauts to low Earth orbit that occurred in September 2021. The crew collected biospecimen samples before, during, and after flight. One of these biospecimen collections included whole blood collected via venipuncture, with serum extracted from blood using a serum separator tube (SST). Samples were collected pre-flight (L-92, L-44, L-3) and post-flight (R+1, R+45, R+82). Serum samples were submitted for immune and cardiovas...","H, o, m, o,  , s, a, p, i, e, n, s","49","https://osdr.nasa.gov/bio/repo/data/studies/OSD-575"
